June 19, 2014	H Amdt 907	Repeals Prohibition on Guantanamo Bay Detainee Transfers and Facility Construction	Amendment Rejected - House(163 - 249)	Yea	
June 19, 2014	H Amdt 908	Prohibits United States Combat Operations in Iraq	Amendment Rejected - House(165 - 250)	Yea	
June 19, 2014	H Amdt 912	Prohibits Funds from Being Used Pursuant to the Authorization for Use of Military Force Against Iraq Resolution of 2002	Amendment Rejected - House(182 - 231)	Yea	
June 19, 2014	H Amdt 917	Prohibits United States from Providing Weapons in Syria	Amendment Rejected - House(167 - 244)	Yea	
June 19, 2014	H Amdt 935	Prohibits a Federal Employee from Requesting Foreign Intelligence Information in Relation to a US Citizen	Amendment Adopted - House(293 - 123)	Yea	
June 10, 2014	H Amdt 813	Prohibits Funds from Being Used to Implement a Department of Housing and Urban Development Plan	Amendment Adopted - House(219 - 207)	Nay	
June 10, 2014	H Amdt 815	Prohibits Funds from Being Used to Acquire Traffic Cameras	Amendment Adopted - House(255 - 171)	Nay	
June 10, 2014	H Amdt 823	Prohibits Funds from Being Used for the California High-Speed Rail	Amendment Adopted - House(227 - 186)	Nay	
June 10, 2014	HR 4745	Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2015	Bill Passed - House(229 - 192)	Nay	
June 9, 2014	H Amdt 783	Reduces Appropriations to Amtrak	Amendment Rejected - House(154 - 248)	Nay	
May 30, 2014	H Amdt 738	Authorizes Funds to be Used for Guantanamo Bay Operations	Amendment Rejected - House(169 - 230)	Nay	
May 30, 2014	H Amdt 748	Prohibits Federal Agencies from Preventing States from Authorizing the Use of Medical Marijuana	Amendment Adopted - House(219 - 189)	Nay	
May 30, 2014	H Amdt 750	Prohibits Funds from Being Used for the Transfer of Clemency Application Screening Personnel	Amendment Adopted - House(219 - 189)	Nay	
May 30, 2014	H Amdt 763	Prohibits Funds from Being Used to Require Journalists to Disclose Sources	Amendment Adopted - House(225 - 183)	Yea	
May 22, 2014	H Amdt 671	Prohibits Funds from Being Used for Certain Climate Change Reports	Amendment Adopted - House(231 - 192)	Did Not Vote	
May 22, 2014	H Amdt 675	Prohibits Funds from Being Used for Guantanmo Bay Operations	Amendment Rejected - House(177 - 247)	Did Not Vote	
May 22, 2014	H Amdt 676	Repeals Indefinite Military Detention Provisions	Amendment Rejected - House(191 - 230)	Did Not Vote	
May 22, 2014	H Amdt 679	Prohibits Funds from Being Used to Implement the New START Treaty	Amendment Adopted - House(233 - 191)	Did Not Vote	
May 22, 2014	H Amdt 680	Repeals Military Force Authorization	Amendment Rejected - House(191 - 233)	Did Not Vote	
May 22, 2014	HR 3361	USA FREEDOM Act	Bill Passed - House(303 - 121)	Did Not Vote	
May 22, 2014	HR 4435	Howard P. "Buck" McKeon National Defense Authorization Act for Fiscal Year 2015	Bill Passed - House(325 - 98)	Did Not Vote	
May 21, 2014	H Amdt 669	Amends Intercontinental-Range Ballistic Missiles (ICBM) Laws	Amendment Adopted - House(222 - 196)	Did Not Vote	
May 9, 2014	HR 4438	American Research and Competitiveness Act of 2014	Bill Passed - House(274 - 131)	Nay	
May 7, 2014	H Res 574	Recommends that the House of Representatives Find Lois G. Lerner in Contempt of Congress	Resolution Passed - House(231 - 187)	Nay	
April 10, 2014	H Con Res 96	Establishing the Budget for the United States Government for Fiscal Year 2015 and Setting Forth Appropriate Budgetary Levels for Fiscal Years 2016 Through 2024	Joint Resolution Passed - House(219 - 205)	Nay	
April 8, 2014	HR 1871	Baseline Reform Act of 2014	Bill Passed - House(230 - 185)	Did Not Vote	
April 4, 2014	HR 1874	Pro-Growth Budgeting Act of 2014	Bill Passed - House(224 - 182)	Nay	
April 3, 2014	HR 2575	Save American Workers Act of 2014	Bill Passed - House(248 - 179)	Nay	
March 26, 2014	HR 1459	Ensuring Public Involvement in the Creation of National Monuments Act	Bill Passed - House(222 - 201)	Nay	
March 25, 2014	HR 2824	Preventing Government Waste and Protecting Coal Mining Jobs in America	Bill Passed - House(229 - 192)	Nay	
March 14, 2014	HR 4015	SGR Repeal and Medicare Provider Payment Modernization Act of 2014	Bill Passed - House(238 - 181)	Did Not Vote	
March 13, 2014	HR 3189	Water Rights Protection Act	Bill Passed - House(238 - 174)	Did Not Vote	
March 13, 2014	HR 3973	Faithful Execution of the Law Act of 2014	Bill Passed - House(244 - 171)	Did Not Vote	
March 12, 2014	HR 4138	Executive Needs to Faithfully Observe and Respect Congressional Enactments of (ENFORCE) the Law Act of 2014	Bill Passed - House(233 - 181)	Nay	
March 6, 2014	H Amdt 585	Prohibits the Social Cost of Carbon from Being Included in Agency Determinations	Amendment Adopted - House(222 - 188)	Nay	
March 6, 2014	H Amdt 587	Exempts Certain Nuclear Facility Construction Projects from Environmental Review Time Frame Requirements	Amendment Rejected - House(187 - 220)	Yea	
March 6, 2014	HR 2641	Responsibly And Professionally Invigorating Development (RAPID) Act of 2013	Bill Passed - House(229 - 179)	Nay	
March 6, 2014	HR 3826	Electricity Security and Affordability Act	Bill Passed - House(229 - 183)	Nay	
